a,b,p_calib
-125,104,1.6881752259751125e-10
-125,110,2.6260504886119764e-09
-125,114,2.6548109559849237e-11
-125,115,7.5030009995259949e-11
-125,125,9.0036014214757985e-10
-125,126,3.7167352898066362e-11
-125,127,6.4293830027606298e-10
-124,-127,1.1273906864741718e-08
-124,-123,4.42468492664154e-12
-124,-122,1.0129051605650855e-09
-124,-119,1.0129051605650855e-09
-124,-112,1.0129051605650855e-09
-124,-102,2.2919866851413517e-10
-124,-98,1.6881752259751125e-10
-124,-97,5.9836436131583786e-09
-124,-94,6.9688782785950782e-09
-124,-93,4.5018007107378992e-10
-124,-91,4.5018007107378992e-10
-124,-86,7.5030009995259949e-11
-124,-85,2.0258103211301709e-09
-124,-84,2.6548109559849237e-11
-124,-83,5.2348761607073592e-10
-124,-82,6.1945584115755821e-12
-124,-81,2.415877804800606e-10
-124,-80,2.4384753259277121e-10
-124,-79,2.7039564215262043e-10
-124,-77,1.0129051605650855e-09
-124,-76,4.5018007107378992e-10
-124,-75,4.42468492664154e-12
-124,-73,3.376350451950225e-10
-124,-71,1.6881752259751125e-10
-124,-70,5.9086136031631191e-09
-124,-69,4.5018007107378992e-10
-124,-68,2.9183956654346967e-10
-124,-67,4.5018007107378992e-10
-124,-66,9.0036014214757985e-10
-124,-65,3.1661779047532054e-10
-124,-64,1.9882953293612705e-09
-124,-62,2.433576563936075e-10
-124,-61,2.1680955654820974e-10
-124,-60,4.42468492664154e-12
-124,-59,8.1224568406835529e-11
-124,-58,3.9813313114460347e-09
-124,-57,3.3106282402454272e-09
-124,-56,2.0962102358418697e-09
-124,-55,1.9803624998444959e-10
-124,-54,9.2690825170742912e-10
-124,-53,6.9480666734479095e-09
-124,-52,3.0387154816952568e-09
-124,-51,1.1629651805556054e-09
-124,-50,1.4896333411987246e-09
-124,-49,3.593049515089865e-09
-124,-48,3.5874238490337389e-09
-124,-47,1.7188320194273113e-09
-124,-46,3.628273061762618e-09
-124,-45,6.1945584115755821e-12
-124,-44,7.1350253081963396e-09
-124,-43,1.039134083737336e-08
-124,-42,1.2259853363857809e-09
-124,-41,7.4088659417201742e-09
-124,-40,1.6640116941237178e-08
-124,-39,5.3139990774560156e-09
-124,-38,3.2090659260348653e-09
-124,-37,1.0881200348777045e-08
-124,-36,2.8490703726586381e-09
-124,-35,1.1942034476950882e-08
-124,-34,1.0957147174359442e-08
-124,-33,2.8667217314587366e-09
-124,-32,1.1519619308816846e-08
-124,-31,1.2505280907215583e-08
-124,-30,6.4630738133279129e-09
-124,-29,1.6033983179506532e-08
-124,-28,1.9302134035965922e-08
-124,-27,1.6984942771696557e-08
-124,-26,1.4130041601581023e-08
-124,-25,1.6483420592473472e-08
-124,-24,3.9069333733787274e-09
-124,-23,1.6472927256131167e-08
-124,-22,1.9894788850602389e-08
-124,-21,2.5483845314681129e-08
-124,-20,1.6534430698395601e-08
-124,-19,2.9847217515066073e-08
-124,-18,4.174151178717265e-08
-124,-17,3.3994204895014239e-08
-124,-16,5.3261053735971764e-08
-124,-15,3.4757068266022688e-08
-124,-14,5.4714655419530459e-08
-124,-13,4.1978817600585309e-08
-124,-12,3.8484044416763202e-08
-124,-11,6.0797949820632002e-08
-124,-10,6.7165499154456898e-08
-124,-9,8.4506611895331066e-08
-124,-8,1.0903091591358479e-07
-124,-7,1.144109248855015e-07
-124,-6,1.3945092697710139e-07
-124,-5,1.8810539413448154e-07
