[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.3351065546 wNMSE=0.0031435239 wMSE=239.4748 wMRED=0.26551016 wER=0.215477 wMAE=5.7772 wBias=2.3997 condBias=7.7322 dotDrift=+9.925sigma uMRED=0.0145236903 uER=0.242188 uMAE=8.0312 WCE=75 bias=-2.5625
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_soft:05400] loss=0.022800 tau=3.93 collapse_w=0.000 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
[quad_soft:05600] loss=0.021419 tau=4.02 collapse_w=0.000 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
[quad_soft:05800] loss=0.020489 tau=4.11 collapse_w=0.000 mid_frac=0.146 hard=score=0.0051762978 wNMSE=7.6316949e-05 wMSE=5.8139 wMRED=0.01588588 wER=0.093098 wMAE=0.6435 wBias=-0.2852 condBias=1.2048 dotDrift=-7.570sigma uMRED=0.0018737031 uER=0.140625 uMAE=1.2500 WCE=16 bias=-0.8750
[quad_soft:06000] loss=0.019975 tau=4.20 collapse_w=0.000 mid_frac=0.146 hard=score=0.0051762978 wNMSE=7.6316949e-05 wMSE=5.8139 wMRED=0.01588588 wER=0.093098 wMAE=0.6435 wBias=-0.2852 condBias=1.2048 dotDrift=-7.570sigma uMRED=0.0018737031 uER=0.140625 uMAE=1.2500 WCE=16 bias=-0.8750
[quad_soft:06200] loss=0.023042 tau=4.29 collapse_w=0.025 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
[quad_soft:06400] loss=0.020839 tau=4.38 collapse_w=0.050 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
[quad_soft:06600] loss=0.021197 tau=4.47 collapse_w=0.075 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
[quad_soft:06800] loss=0.021413 tau=4.56 collapse_w=0.100 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
[quad_soft:07000] loss=0.021474 tau=4.65 collapse_w=0.125 mid_frac=0.146 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
[quad_soft:07200] loss=0.021506 tau=4.74 collapse_w=0.150 mid_frac=0.125 hard=score=0.0118617969 wNMSE=0.00011828461 wMSE=9.0110 wMRED=0.01904037 wER=0.093098 wMAE=0.8044 wBias=-0.4461 condBias=1.5000 dotDrift=-9.511sigma uMRED=0.0022625739 uER=0.140625 uMAE=1.5000 WCE=16 bias=-1.1250
